127.0.0.1 - - [10/Dec/2015:19:14:09 -0200] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:19 -0200] "GET /Hamburgueria/ HTTP/1.1" 200 4388
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:19 -0200] "GET /Hamburgueria/index.css HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:19 -0200] "GET /Hamburgueria/assets/css/bootstrap.css HTTP/1.1" 200 147417
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:19 -0200] "GET /Hamburgueria/assets/css/hover-min.css HTTP/1.1" 200 104212
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:19 -0200] "GET /Hamburgueria/assets/css/bootstrap-switch.min.css HTTP/1.1" 200 6255
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:19 -0200] "GET /Hamburgueria/resources/css/custom.css HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:19 -0200] "GET /Hamburgueria/assets/js/ajax.js HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:19 -0200] "GET /Hamburgueria/assets/js/jquery-validate.min.js HTTP/1.1" 200 3884
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:20 -0200] "GET /Hamburgueria/assets/js/jquery-2.1.4.min.js HTTP/1.1" 200 84345
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:20 -0200] "GET /Hamburgueria/assets/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:20 -0200] "GET /Hamburgueria/assets/js/Chart.min.js HTTP/1.1" 200 52091
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:20 -0200] "GET /Hamburgueria/assets/js/bootbox.min.js HTTP/1.1" 200 9972
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:20 -0200] "GET /Hamburgueria/assets/js/bootstrap-switch.min.js HTTP/1.1" 200 15724
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:20 -0200] "GET /Hamburgueria/index.js HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:20 -0200] "GET /Hamburgueria/assets/js/bootstrap-datepicker.min.js HTTP/1.1" 200 32033
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:20 -0200] "GET /Hamburgueria/resources/js/custom.js HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:20 -0200] "GET /Hamburgueria/assets/imagem/johnny-rockets.png HTTP/1.1" 200 275155
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:21 -0200] "GET /Hamburgueria/resources/ofertadia.html HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:21 -0200] "GET /Hamburgueria/assets/imagem/background.jpg HTTP/1.1" 200 71586
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:21 -0200] "GET /Hamburgueria/assets/imagem/ofertadodia3.png HTTP/1.1" 200 19693
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:22 -0200] "GET /Hamburgueria/assets/imagem/imagem4.png HTTP/1.1" 200 841552
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:38 -0200] "GET /Hamburgueria HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:38 -0200] "GET /Hamburgueria/ HTTP/1.1" 200 4388
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:38 -0200] "GET /Hamburgueria/assets/css/bootstrap.css HTTP/1.1" 200 147417
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:38 -0200] "GET /Hamburgueria/index.css HTTP/1.1" 200 1230
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:38 -0200] "GET /Hamburgueria/assets/css/hover-min.css HTTP/1.1" 200 104212
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:38 -0200] "GET /Hamburgueria/resources/css/custom.css HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:38 -0200] "GET /Hamburgueria/assets/css/bootstrap-switch.min.css HTTP/1.1" 200 6255
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:38 -0200] "GET /Hamburgueria/assets/js/ajax.js HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:38 -0200] "GET /Hamburgueria/assets/js/jquery-2.1.4.min.js HTTP/1.1" 200 84345
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:38 -0200] "GET /Hamburgueria/assets/js/jquery-validate.min.js HTTP/1.1" 200 3884
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:38 -0200] "GET /Hamburgueria/assets/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:38 -0200] "GET /Hamburgueria/assets/js/Chart.min.js HTTP/1.1" 200 52091
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:38 -0200] "GET /Hamburgueria/assets/js/bootbox.min.js HTTP/1.1" 200 9972
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:38 -0200] "GET /Hamburgueria/assets/js/bootstrap-switch.min.js HTTP/1.1" 200 15724
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:38 -0200] "GET /Hamburgueria/assets/js/bootstrap-datepicker.min.js HTTP/1.1" 200 32033
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:38 -0200] "GET /Hamburgueria/index.js HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:38 -0200] "GET /Hamburgueria/resources/js/custom.js HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:38 -0200] "GET /Hamburgueria/assets/imagem/johnny-rockets.png HTTP/1.1" 200 275155
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:39 -0200] "GET /Hamburgueria/resources/ofertadia.html HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:39 -0200] "GET /Hamburgueria/assets/imagem/background.jpg HTTP/1.1" 200 71586
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:39 -0200] "GET /Hamburgueria/assets/imagem/ofertadodia3.png HTTP/1.1" 200 19693
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:40 -0200] "GET /Hamburgueria/assets/imagem/imagem4.png HTTP/1.1" 200 841552
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:14:40 -0200] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:15:53 -0200] "GET /Hamburgueria/resources/funcionario/gerenciaAdmin.html HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:15:53 -0200] "GET /Hamburgueria/resources/funcionario/js/gerenciaAdmin.js?_=1449782079013 HTTP/1.1" 200 3804
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:15:54 -0200] "GET /Hamburgueria/assets/js/jquery-validate.min.js?_=1449782079014 HTTP/1.1" 200 3884
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:15:54 -0200] "GET /Hamburgueria/assets/js/jquery.mask.min.js?_=1449782079015 HTTP/1.1" 200 4860
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:15:58 -0200] "GET /Hamburgueria/rest/funcionarioRest/buscarFuncionariosPorNome/null HTTP/1.1" 500 1039
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:24:16 -0200] "GET /Hamburgueria/resources/funcionario/gerenciaAdmin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:24:16 -0200] "GET /Hamburgueria/resources/funcionario/js/gerenciaAdmin.js?_=1449782079016 HTTP/1.1" 200 3804
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:24:16 -0200] "GET /Hamburgueria/assets/js/jquery-validate.min.js?_=1449782079017 HTTP/1.1" 200 3884
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:24:16 -0200] "GET /Hamburgueria/assets/js/jquery.mask.min.js?_=1449782079018 HTTP/1.1" 200 4860
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:24:18 -0200] "GET /Hamburgueria/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:24:20 -0200] "GET /Hamburgueria/resources/funcionario/js/gerenciaAdmin.js?_=1449782658769 HTTP/1.1" 200 3804
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:24:20 -0200] "GET /Hamburgueria/assets/js/jquery-validate.min.js?_=1449782658770 HTTP/1.1" 200 3884
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:24:20 -0200] "GET /Hamburgueria/assets/js/jquery.mask.min.js?_=1449782658771 HTTP/1.1" 200 4860
0:0:0:0:0:0:0:1 - - [10/Dec/2015:19:24:20 -0200] "GET /Hamburgueria/rest/funcionarioRest/buscarFuncionariosPorNome/null HTTP/1.1" 200 731
