0:0:0:0:0:0:0:1 - - [12/Feb/2016:18:59:36 -0200] "GET /Hamburgueria/assets/imagem/imagem4.png HTTP/1.1" 200 841552
0:0:0:0:0:0:0:1 - - [12/Feb/2016:18:59:36 -0200] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [12/Feb/2016:18:59:37 -0200] "GET /Hamburgueria/resources/funcionario/gerenciaAdmin.html HTTP/1.1" 200 1054
0:0:0:0:0:0:0:1 - - [12/Feb/2016:18:59:37 -0200] "GET /Hamburgueria/resources/funcionario/js/serviceFunc.js?_=1455310776156 HTTP/1.1" 200 2211
0:0:0:0:0:0:0:1 - - [12/Feb/2016:18:59:37 -0200] "GET /Hamburgueria/resources/funcionario/js/gerenciaAdmin.js?_=1455310776157 HTTP/1.1" 200 5846
0:0:0:0:0:0:0:1 - - [12/Feb/2016:18:59:40 -0200] "GET /Hamburgueria/rest/funcionarioRest/buscarFuncionariosPorNome/null HTTP/1.1" 200 3864
0:0:0:0:0:0:0:1 - - [12/Feb/2016:18:59:40 -0200] "GET /Hamburgueria/assets/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [12/Feb/2016:18:59:41 -0200] "GET /Hamburgueria/resources/funcionario/cadastroFuncionario.html HTTP/1.1" 200 3707
0:0:0:0:0:0:0:1 - - [12/Feb/2016:18:59:41 -0200] "GET /Hamburgueria/assets/js/cidade.js?_=1455310776158 HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [12/Feb/2016:18:59:41 -0200] "GET /Hamburgueria/resources/funcionario/css/funcionario.css HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [12/Feb/2016:18:59:41 -0200] "GET /Hamburgueria/resources/funcionario/js/cadastroFuncionario.js?_=1455310776159 HTTP/1.1" 200 4607
0:0:0:0:0:0:0:1 - - [12/Feb/2016:18:59:41 -0200] "GET /Hamburgueria/assets/js/jquery.mask.min.js?_=1455310776160 HTTP/1.1" 200 4860
0:0:0:0:0:0:0:1 - - [12/Feb/2016:18:59:41 -0200] "GET /Hamburgueria/rest/CidadesRest HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [12/Feb/2016:18:59:44 -0200] "GET /Hamburgueria/assets/css/bootstrap.css.map HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [12/Feb/2016:19:00:27 -0200] "GET /Hamburgueria/ HTTP/1.1" 304 -
